REF_ID,REFERENCE
NY023,"Clarke, J.M. and Luther, D.D., 1904, Stratigraphic and paleontologic map of Canandaigua and Naples quadrangles: New York State Museum Bulletin, no. 63, 76 p."
NY024,"Ver Straeten, C.A., Griffing, D.H. and Brett, C.E., 1994, The lower part of the Middle Devonian Marcellus ""Shale"", central to western New York State; stratigraphy and depositional history, IN Brett, C.E., and Scatterday, James, eds., Field trip guidebook: New York State Geological Association Guidebook, no. 66, 66th Annual Meeting, Rochester, NY, p. 271-321."
NY025,"Ver Straeten, C.A., 1994, Microstratigraphy and depositional environments of a Middle Devonian foreland basin; Berne and Otsego Members, Mount Marion Formation, eastern New York, IN Landing, Ed, ed., Studies in stratigraphy and paleontology in honor of Donald W. Fisher: New York State Museum Bulletin, no. 481, p. 367-380."
NY026,"Cooper, G.A., 1941, New Devonian stratigraphic units: Washington Academy of Sciences Journal, v. 31, no. 5, p. 179-181."
NY027,"Stevenson, R.E., 1949, Geologic structures of the Lower Devonian rocks of central New York (Progress Report): New York State Science Service Report of Investigations, no. 3, 16 p."
NY028,"Darton, N.H., 1894, Preliminary report on the geology of Albany County and Ulster County: New York Geological Survey Annual Report, no. 13, p. 199-261."
NY029,"Ciurca, S.J., Jr. and Hamell, R.D., 1994, Late Silurian sedimentation, sedimentary structures and paleoenvironmental settings within an eurypterid-bearing sequence [Salina and Bertie Groups], western New York State and southwestern Ontario, Canada, IN Brett, C.E., and Scatterday, James, eds., Field trip guidebook: New York State Geological Association Guidebook, no. 66, 66th Annual Meeting, Rochester, NY, p.457-488."
NY030,"Ciurca, S.J., Jr., 1990, Eurypterid biofacies of the Silurian-Devonian evaporite sequence; Niagara Peninsula, Ontario, Canada, and New York, IN Lash, G.G., ed., Western New York and Ontario; field trip guidebook: New York State Geological Association Guidebook, no. 62, 62nd Annual Meeting, Fredonia, NY, p.Sat/Sun D1-D30."
NY031,"Heyman, Louis, 1977, Tully (Middle Devonian) to Queenston (Upper Ordovician) correlations in the subsurface of western Pennsylvania: Pennsylvania Geological Survey Mineral Resource Report, 4th series, no. 73, 2 charts."
NY032,"LoDuca, S.T. and Brett, C.E., 1994, Revised stratigraphic facies relationships of the lower part of the Clinton Group (middle Llandoverian) of western New York State, IN Landing, Ed, ed., Studies in stratigraphy and paleontology in honor of Donald W. Fisher: New York State Museum Bulletin, no. 481, p.161-182."
NY033,"Lin, Bea-Yeh and Brett, C.E., 1988, Stratigraphy and disconformable contacts of the Williamson-Willowvale interval; revised correlations of the late Llandoverian (Silurian) in New York State: Northeastern Geology, v. 10, no. 3, p. 241-253."
NY034,"Rader, E.K. and Biggs, T.H., 1976, Geology of the Strasburg and Toms Brook quadrangles, Virginia: Virginia Division of Mineral Resources Report of Investigations, no. 45, 104 p."
NY035,"Frey, R.C., 1995, Middle and Upper Ordovician nautiloid cephalopods of the Cincinnati arch region of Kentucky, Indiana, and Ohio, IN Pojeta, John, Jr., ed., Contributions to the Ordovician paleontology of Kentucky and nearby states: U.S. Geological Survey Professional Paper, 1066-P, p. P1-P126."
NY036,"Goldman, Daniel, Mitchell, C.E., Bergstrom, S.M., Delano, J.W. and Tice, Steven, 1994, K-bentonites and graptolite biostratigraphy in the Middle Ordovician of New York State and Quebec; a new chronostratigraphic model: Palaios, v. 9, no. 2, p. 124-143."
NY037,"Fisher, D.W., 1984, Bedrock geology of the Glens Falls-Whitehall region, New York: New York State Museum Map and Chart Series, 35, 60 p., 1 sheet, scale 1:48,000."
NY038,"Thompson, J.B., Jr., 1990, An introduction to the geology and Paleozoic history of the Glens Falls 1 degrees x 2 degrees quadrangle, New York, Vermont, and New Hampshire, IN Slack, J.F., ed., Summary results of the Glens Falls CUSMAP project,New York, Vermont, and New Hampshire: U.S. Geological Survey Bulletin, 1887-A, p. A1-A13."
NY039,"Muskatt, H.S. and Tollerton, V.P., Jr., 1992, The Little Falls Dolostone (Late Cambrian); stratigraphy and mineralogy, IN April, R.H., ed., Field trip guidebook: New York State Geological Association Guidebook, no. 64, 64th Annual Meeting,Hamilton, NY, September 18-20, 1992, p. 200-215."
NY040,"Ulrich, E.O. and Cushing, H.P., 1910, Age and relations of the Little Falls dolomite (calciferous) of the Mohawk Valley: New York State Museum Bulletin, no. 140, p. 97-140."
NY041,"Wheeler, R.H., 1942, Cambrian-Ordovician boundary in the Adirondack-border region: American Journal of Science, v. 240, no. 7, p. 518-524."
NY042,"Sanders, J.E., 1995, Lower Paleozoic carbonate-clast diamictites; relationship to thrust sheets that advanced across the floor of the northern Appalachian Ordovician foreland basin: Northeastern Geology and Environmental Sciences, v. 17, no.1, p. 23-45."
NY043,"Simonsen, Jeff and Friedman, G.M., 1991, Deep-burial limestone diagenesis of the Lower Devonian Becraft Formation (Helderberg Group) of the Hudson River Valley area: Northeastern Geology, v. 13, no. 1, p. 39-63."
NY044,"Epstein, J.B., 1993, Stratigraphy of Silurian rocks in Shawangunk Mountain, southeastern New York, including a historical review of nomenclature, IN Evolution of sedimentary basins; Appalachian basin: U.S. Geological Survey Bulletin, 1839-L, p. L1-L40."
NY045,"Lyttle, P.T. and Epstein, J.B., 1987, Bedrock geologic map of the Newark 2 degrees quadrangle, New York, New Jersey, and Pennsylvania: U.S. Geological Survey Miscellaneous Investigations Series Map, I-1715, 1 sheet, scale 1:250,000."
NY046,USGS National Geologica Map Database (Geolex) - available online at http://ngmdb.usgs.gov/Geolex/geolex_qs.html
NY201,Polygon edits made by C.L. Dicken based on the source map NY002.
US001,"Johnson, Bruce R. and Leveritch, Beth, 1998, 1:100,000 Scale State Boundaries of the Conterminous United States: U.S. Geological Survey, unpublished."
