STATE,ORIG_LABEL,MAP_SYM1,MAP_SYM2,UNIT_LINK,PROV_NO,PROVINCE,UNIT_NAME,UNIT_AGE,UNITDESC,STRAT_UNIT,UNIT_COM,MAP_REF,ROCKTYPE1,ROCKTYPE2,ROCKTYPE3,UNIT_REF
NY,Dco,Dco,Dco;4,NYDco;4,4,Niagara Sheet,Oswayo and Venango Formations,Upper Devonian,"Oswayo and Venango Formations - shale, siltstone, sandstone; replaced eastwardly by Cattaraugus Formation-shale, sandstone, conglomerate.",,"part of Conewango Group 450-650 ft. (140-200 m).Secondary unit description from USGS Geologic Names lexicon (ref. NY046): Named Oswayo beds for Oswayo Creek in Olean quadrangle, NY. Consists of olive-green to rusty-colored sandy shales, with here and there thin sandstone layers with limonitic seams or incrustations. Includes marine invertebrates. Thickness is 160 to 250 feet. Unit underlies Knapp beds and overlies (probably unconformably) Cattaraugus beds. [Venango Formation] includes all strata from top of upper bounding key bed, the Woodcock Sandstone Member (Venango First sand), to the base of its lower key bed, the Panama Conglomerate Member (Venango Third sand). Formation is about 280 to 330 ft thick in study area. Consists of varying amounts of light-gray conglomerate, conglomeratic sandstone, and sandstone; gray and greenish-gray siltstone; and dark-gray to brownish-gray and minor grayish red shale. Where marker beds are not recognized, contacts are generally mapped by projection of interval thickness. Overlies Chadakoin Formation and underlies Oswayo Formation. Interfingers with Catskill Formation toward the southeast where redbeds begin to dominate. Depositional environment of oil sands interpreted as offshore bar and beach, tidal channels, and subaqueous dunes. Age is Late Devonian.[Cattaraugus Formation] Named for Cattaraugus Co., southwestern NY. Consists of red and green shales with flaggy sands. Thickness is 200 ft. Underlies Mount Herman or Salamanca conglomerate; overlies Wolf Creek conglomerate. Distinguished from Catskill beds by paleontologic evidence.",NY001,shale,siltstone,sandstone; conglomerate,NY002
NY,Dct,Dct,Dct;4,NYDct;4,4,Niagara Sheet,"Conneaut Group, undivided",Upper Devonian,"Conneaut Group, undivided - In west: Ellicott and Dexterville Formations-shale, siltstone.  In east: Germania Formation-shale, sandstone; Whitesville Formation-shale, sandstone; Hinsdale Sandstone; Wellsville Formation-shale, sandstone; Cuba Sandstone.",,250-600 ft. (75-200 m).,NY001,shale,sandstone,siltstone,NY002
NY,Dct,Dct,Dct;5,NYDct;5,5,Finger Lakes Sheet,"Conneaut Group, undivided",Upper Devonian,"Conneaut Group, undivided - Germania Formation-shale, sandstone; Whitesville Formation-shale, sandstone; Hinsdale Sandstone; Wellsville Formation-shale, sandstone; Cuba Sandstone.",,600-1000 ft. (180-300 m).,NY001,shale,sandstone,,NY002
NY,Dcy,Dcy,Dcy;4,NYDcy;4,4,Niagara Sheet,Machias Formation,Upper Devonian,"Machias Formation - shale, siltstone; Rushford Sandstone; Caneadea, Canisteo, and Hume Shales; Canaseraga Sandstone; South Wales and Dunkirk Shales.",,part of Canadaway Group 700-1200 ft. (210-370 m).,NY001,shale,siltstone,sandstone,NY002
NY,Dcy,Dcy,Dcy;5,NYDcy;5,5,Finger Lakes Sheet,Machias Formation,Upper Devonian,"Machias Formation - shale, siltstone; Rushford Sandstone; Caneadea, Canisteo, and Hume Shales; Canaseraga Sandstone; South Wales and Dunkirk Shales; In Pennsylvania: Towanda Formation-shale, sandstone.",,part of Canadaway Group 800-1200 ft. (240-370 m).,NY001,shale,siltstone,sandstone,NY002
NY,Dcyd,Dcyd,Dcyd;4,NYDcyd;4,4,Niagara Sheet,"Gowanda, South Wales, and Dunkirk Shales",Upper Devonian,"Gowanda, South Wales, and Dunkirk Shales.",,part of Canadaway Group 700-1200 ft. (210-370 m).,NY001,shale,,,NY002
NY,Dcyl,Dcyl,Dcyl;4,NYDcyl;4,4,Niagara Sheet,Westfield Shale and Laona Siltstone,Upper Devonian,Westfield Shale and Laona Siltstone.,,part of Canadaway Group 700-1200 ft. (210-370 m).,NY001,shale,siltstone,,NY002
NY,Dcys,Dcys,Dcys;4,NYDcys;4,4,Niagara Sheet,Northeast Shale and Shumla Siltstone,Upper Devonian,Northeast Shale and Shumla Siltstone.,,part of Canadaway Group 700-1200 ft. (210-370 m).,NY001,shale,siltstone,,NY002
NY,Dg,Dg,Dg;4,NYDg;4,4,Niagara Sheet,Genesee Group,Upper Devonian,Genesee Group - West River Shale; Genundewa Limestone; Penn Yan and Geneseo Shales; North Evans Limestone.,,"10-150 ft. (3-45 m).Secondary unit descriptions from USGS Lexicon website (ref. NY046) and reference NY01:Genesee Formation extended from southwestern NY and western PA into eastern OH and northern WV (de Witt and others, 1993).West of Canandaigua Lake in western NY, the gray shale sequence above the Geneseo Shale Member of the Genesee Formation comprises the Penn Yan Shale Member, the Genundewa Limestone Member, and the West River Shale Member. The Penn Yan, at the base of the sequence, contains the Middle and Upper Devonian boundary. The Genundewa Limestone Member is an irregular- to flaggy-bedded limestone composed largely of the shells of the tiny pteropod STYLIOLINA FISSURELLA. It is only a local unit and does not extend beyond the southern NY border (de Witt and others, 1993).Penn Yan Shale Member of Genesee Formation extended from southwestern NY into western PA. West of Canandaigua Lake in western NY, the boundary between the Middle and the Upper Devonian lies within the lower part of the Penn Yan. Unit consists mainly of dark- to medium-gray shale or mudrock and some beds of black shale, abundant limestone nodules, and a few thin beds of dark-gray siltstone. The Penn Yan is overstepped to the southwest along the Middle Devonian unconformity by the West River Shale Member. To the east of Canandaigua Lake, the Penn Yan and the West River grad laterally into the Sherburne Flagstone and Ithaca Members (de Witt and others, 1993). ",NY001,shale,limestone,siltstone; black shale,NY002NY015NY046
NY,Dg,Dg,Dg;5,NYDg;5,5,Finger Lakes Sheet,Genesee Group,Upper Devonian,"Genesee Group - West River Shale; Genundewa Limestone; Penn Yan and Geneseo Shales; all except Geneseo replaced eastwardly by Ithaca Formation-shale, siltstone and Sherburne Siltstone. ",,"200-1000 ft. (60-300 m).Secondary unit descriptions from USGS Lexicon website (ref. NY046) and reference NY015:Genesee Formation extended from southwestern NY and western PA into eastern OH and northern WV (de Witt and others, 1993).West of Canandaigua Lake in western NY, the gray shale sequence above the Geneseo Shale Member of the Genesee Formation comprises the Penn Yan Shale Member, the Genundewa Limestone Member, and the West River Shale Member. The Penn Yan, at the base of the sequence, contains the Middle and Upper Devonian boundary. The Genundewa Limestone Member is an irregular- to flaggy-bedded limestone composed largely of the shells of the tiny pteropod STYLIOLINA FISSURELLA. It is only a local unit and does not extend beyond the southern NY border (de Witt and others, 1993).Penn Yan Shale Member of Genesee Formation extended from southwestern NY into western PA. West of Canandaigua Lake in western NY, the boundary between the Middle and the Upper Devonian lies within the lower part of the Penn Yan. Unit consists mainly of dark- to medium-gray shale or mudrock and some beds of black shale, abundant limestone nodules, and a few thin beds of dark-gray siltstone. The Penn Yan is overstepped to the southwest along the Middle Devonian unconformity by the West River Shale Member. To the east of Canandaigua Lake, the Penn Yan and the West River grad laterally into the Sherburne Flagstone and Ithaca Members (de Witt and others, 1993).",NY001,shale,limestone,siltstone; black shale,NY002NY015NY046
NY,Dgl,Dgl,Dgl;2,NYDgl;2,2,Hudson-Mohawk Sheet,Glenerie Formation,Lower Devonian,"Glenerie Formation - limestone, chert.",,"part of Onondaga Limestone and Ulster Group 100-500 ft. (30-150 m)Secondary unit description from USGS Geologic Names lexicon (ref. NY046): Composition of the Glenerie limestone ranges from limestone to solid chert beds, soft shale, and conglomerate. Beds are very blue to nearly black in fresh exposures; characteristically weather buff brown. Thickness is about 30 ft in type exposure. Overlies the Port Ewen beds in type area, but overlies the Connelly conglomerate farther to south.",NY001,limestone,chert,shale; conglomerate,NY002
NY,Dgl,Dgl,Dgl;3,NYDgl;3,3,Lower Hudson Sheet,Glenerie Formation,Lower Devonian,"Glenerie Formation - limestone, chert; Port Jervis Formation (near Port Jervis only)-shale, limestone, chert.",,part of Onondaga Limestone and Ulster Group 450-1000 ft. (140-300 m).,NY001,limestone,chert,shale,NY002
