Unique Id,indicator_id,geo_type_id,measurement_type_id,internal_id,subtopic_id,name,Measure,geo_type_name,description,geo_entity_id,geo_entity_name,year_description,data_value,message,
649741,365,3,104,2023,122,Fine Particulate Matter (PM2.5),Mean,UHF42,Neighborhood (UHF 42),309,Union Square - Lower East Side,Annual Average 2019,8.87,,
649744,365,3,104,2023,122,Fine Particulate Matter (PM2.5),Mean,UHF42,Neighborhood (UHF 42),310,Lower Manhattan,Annual Average 2019,8.23,,
649747,365,3,104,2023,122,Fine Particulate Matter (PM2.5),Mean,UHF42,Neighborhood (UHF 42),401,Long Island City - Astoria,Annual Average 2019,7.99,,
649750,365,3,104,2023,122,Fine Particulate Matter (PM2.5),Mean,UHF42,Neighborhood (UHF 42),402,West Queens,Annual Average 2019,7.35,,
649753,365,3,104,2023,122,Fine Particulate Matter (PM2.5),Mean,UHF42,Neighborhood (UHF 42),403,Flushing - Clearview,Annual Average 2019,6.61,,
649756,365,3,104,2023,122,Fine Particulate Matter (PM2.5),Mean,UHF42,Neighborhood (UHF 42),404,Bayside - Little Neck,Annual Average 2019,6.21,,
649759,365,3,104,2023,122,Fine Particulate Matter (PM2.5),Mean,UHF42,Neighborhood (UHF 42),405,Ridgewood - Forest Hills,Annual Average 2019,6.56,,
649762,365,3,104,2023,122,Fine Particulate Matter (PM2.5),Mean,UHF42,Neighborhood (UHF 42),406,Fresh Meadows,Annual Average 2019,6.16,,
649765,365,3,104,2023,122,Fine Particulate Matter (PM2.5),Mean,UHF42,Neighborhood (UHF 42),407,Southwest Queens,Annual Average 2019,6.19,,
649768,365,3,104,2023,122,Fine Particulate Matter (PM2.5),Mean,UHF42,Neighborhood (UHF 42),408,Jamaica,Annual Average 2019,6.24,,
649771,365,3,104,2023,122,Fine Particulate Matter (PM2.5),Mean,UHF42,Neighborhood (UHF 42),409,Southeast Queens,Annual Average 2019,6.01,,
649774,365,3,104,2023,122,Fine Particulate Matter (PM2.5),Mean,UHF42,Neighborhood (UHF 42),410,Rockaways,Annual Average 2019,5.59,,
649777,365,3,104,2023,122,Fine Particulate Matter (PM2.5),Mean,UHF42,Neighborhood (UHF 42),501,Port Richmond,Annual Average 2019,6.34,,
649780,365,3,104,2023,122,Fine Particulate Matter (PM2.5),Mean,UHF42,Neighborhood (UHF 42),502,Stapleton - St. George,Annual Average 2019,5.9,,
649783,365,3,104,2023,122,Fine Particulate Matter (PM2.5),Mean,UHF42,Neighborhood (UHF 42),503,Willowbrook,Annual Average 2019,5.96,,
649786,365,3,104,2023,122,Fine Particulate Matter (PM2.5),Mean,UHF42,Neighborhood (UHF 42),504,South Beach - Tottenville,Annual Average 2019,5.81,,

NYC Department of Health and Mental Hygiene
Environment & Health Data Portal
Available at: http://nyc.gov/health/tracking Accessed 03/29/2021
